boring_no,layer_no,top_depth_m,bottom_depth_m,gamma_t_m3,soil_type,soil_name,su1_t_m2,spt_N
BH-1,1,0.0,0.5,1.6,C,Clay,2.02,
BH-1,2,0.5,1.0,1.6,C,Clay,2.02,
BH-1,3,1.0,1.5,1.6,C,Clay,2.02,
BH-1,4,1.5,2.0,1.6,C,Clay,2.02,
BH-1,5,2.0,2.5,1.54,C,Clay,1.36,
BH-1,6,2.5,3.0,1.54,C,Clay,1.36,
BH-1,7,3.0,3.5,1.47,C,Clay,0.69,
BH-1,8,3.5,4.0,1.47,C,Clay,0.98,
BH-1,9,4.0,4.5,1.47,C,Clay,0.98,
BH-1,10,4.5,5.0,1.47,C,Clay,1.28,
BH-1,11,5.0,5.5,1.49,C,Clay,1.22,
BH-1,12,5.5,6.0,1.49,C,Clay,1.22,
BH-1,13,6.0,6.5,1.51,C,Clay,1.15,
BH-1,14,6.5,7.0,1.54,C,Clay,1.52,
BH-1,15,7.0,7.5,1.54,C,Clay,1.52,
BH-1,16,7.5,8.0,1.57,C,Clay,1.89,
BH-1,17,8.0,8.5,1.62,C,Clay,1.96,
BH-1,18,8.5,9.0,1.62,C,Clay,1.96,
BH-1,19,9.0,9.5,1.66,C,Clay,2.03,
BH-1,20,9.5,10.0,1.66,C,Clay,2.18,
BH-1,21,10.0,10.5,1.66,C,Clay,2.18,
BH-1,22,10.5,11.0,1.67,C,Clay,2.32,
BH-1,23,11.0,11.5,1.69,C,Clay,2.68,
BH-1,24,11.5,12.0,1.69,C,Clay,2.68,
BH-1,25,12.0,12.5,1.72,C,Clay,3.04,
BH-1,26,12.5,13.0,1.79,C,Clay,2.66,
BH-1,27,13.0,13.5,1.79,C,Clay,2.66,
BH-1,28,13.5,14.0,1.86,C,Clay,2.28,
BH-1,29,14.0,14.5,1.93,C,Clay,5.56,
BH-1,30,14.5,15.0,1.93,C,Clay,5.56,
BH-1,31,15.0,15.5,2.0,C,Clay,8.84,
BH-1,32,15.5,16.0,1.96,C,Clay,8.27,
BH-1,33,16.0,16.5,1.96,C,Clay,8.27,
BH-1,34,16.5,17.0,1.92,C,Clay,7.7,11.0
BH-1,35,17.0,17.5,1.97,C,Clay,11.14,20.0
BH-1,36,17.5,18.0,1.97,C,Clay,11.14,20.0
BH-1,37,18.0,18.5,2.03,C,Clay,14.59,29.0
BH-1,38,18.5,19.0,2.07,C,Clay,14.59,29.0
BH-1,39,19.0,19.5,2.07,C,Clay,14.59,29.0
BH-1,40,19.5,20.0,2.12,S,Sand,,11.0
BH-1,41,20.0,20.5,2.12,S,Sand,,28.0
BH-1,42,20.5,21.0,2.12,S,Sand,,28.0
BH-1,43,21.0,21.5,2.12,S,Sand,,44.0
BH-1,44,21.5,22.0,2.12,S,Sand,,44.0
BH-1,45,22.0,22.5,2.12,S,Sand,,44.0
BH-1,46,22.5,23.0,2.12,S,Sand,,44.0
BH-1,47,23.0,23.5,2.12,S,Sand,,34.0
BH-1,48,23.5,24.0,2.12,S,Sand,,34.0
BH-1,49,24.0,24.5,2.12,S,Sand,,25.0
BH-1,50,24.5,25.0,2.12,S,Sand,,28.0
BH-1,51,25.0,25.5,2.12,S,Sand,,28.0
BH-1,52,25.5,26.0,2.12,S,Sand,,31.0
BH-1,53,26.0,26.5,2.12,S,Sand,,32.0
BH-1,54,26.5,27.0,2.12,S,Sand,,32.0
BH-1,55,27.0,27.5,2.12,S,Sand,,33.0
BH-1,56,27.5,28.0,2.12,S,Sand,,33.0
BH-1,57,28.0,28.5,2.12,S,Sand,,33.0
BH-1,58,28.5,29.0,2.12,C,Clay,20.91,25.0
BH-1,59,29.0,29.5,2.12,C,Clay,20.91,25.0
BH-1,60,29.5,30.0,2.12,C,Clay,20.91,25.0
BH-1,61,30.0,30.5,2.12,S,Sand,,29.0
