parameter,equation,latex,unit,soil_type,source,notes
B_eff,"max(B - 2*eB, 1e-6)",B'=B-2e_B,m,Eccentricity,GeoCapacity / Braja M. Das workflow,eB is |ex|. ex is moment-derived in MOMENT mode or direct in DIRECT mode.
L_eff,"1 if footing_shape == ""S"" else max(L - 2*eL, 1e-6)",L'=1\ \mathrm{for\ strip};\quad L'=L-2e_L\ \mathrm{for\ rectangular},m,Eccentricity,GeoCapacity strip rule,"For strip footing, L′ is kept as 1 m and ey is forced to 0."
A_eff,B_eff*L_eff,A'=B'L',m²,Effective area,GeoCapacity / Braja M. Das workflow,Effective loaded area.
Nq,tan(radians(45 + phi2_deg/2))**2 * exp(pi*tan(radians(phi2_deg))),N_q=\tan^2\left(45^\circ+\frac{\phi'}{2}\right)e^{\pi\tan\phi'},-,Bearing capacity factor,Braja M. Das / Reissner (1924),Use lower/bearing soil friction angle phi2_deg.
Nc,5.14 if abs(phi2_deg) < 1e-9 else (Nq - 1)/tan(radians(phi2_deg)),N_c=(N_q-1)\cot\phi';\quad N_c=5.14\ \mathrm{when}\ \phi=0,-,Bearing capacity factor,Braja M. Das / Prandtl (1921),Uses a φ=0 limiting value.
Ny,2*(Nq + 1)*tan(radians(phi2_deg)),N_\gamma=2(N_q+1)\tan\phi',-,Bearing capacity factor,Braja M. Das / Caquot & Kerisel / Vesic,Gamma bearing-capacity factor.
Fcs,"1 if footing_shape == ""S"" else 1 + (B/L)*(Nq/max(Nc,1e-6))",F_{cs}=1\ \mathrm{for\ strip};\quad F_{cs}=1+\frac{B}{L}\frac{N_q}{N_c},-,Shape factor,Braja M. Das Table 6.3 / DeBeer (1970),Shape factor uses original B/L as requested. Strip footing is still protected and forced to 1.
Fqs,"1 if footing_shape == ""S"" else 1 + (B/L)*tan(radians(phi2_deg))",F_{qs}=1\ \mathrm{for\ strip};\quad F_{qs}=1+\frac{B}{L}\tan\phi',-,Shape factor,Braja M. Das Table 6.3 / DeBeer (1970),Shape factor uses original B/L as requested. Strip footing is still protected and forced to 1.
Fys,"1 if footing_shape == ""S"" else 1 - 0.4*(B/L)",F_{\gamma s}=1\ \mathrm{for\ strip};\quad F_{\gamma s}=1-0.4\frac{B}{L},-,Shape factor,Braja M. Das Table 6.3 / DeBeer (1970),Shape factor uses original B/L as requested. Strip footing is still protected and forced to 1.
D_over_B,"D/max(B,1e-6)",\frac{D_f}{B},-,Depth factor condition,Braja M. Das Table 6.3 / Hansen (1970),"Depth factor uses original footing width B as requested, not B′/B_eff."
depth_argument,D_over_B if D_over_B <= 1 else atan(D_over_B),"\eta_d=\begin{cases}D_f/B,&D_f/B\le1\\ \tan^{-1}(D_f/B),&D_f/B>1\end{cases}",-,Depth factor condition,Braja M. Das Table 6.3 / Hansen (1970),"Uses original B through D_over_B. For Df/B > 1, arctangent is in radians."
Fqd,1 if abs(phi2_deg) < 1e-9 else 1 + 2*tan(radians(phi2_deg))*(1 - sin(radians(phi2_deg)))**2*depth_argument,F_{qd}=1\ \mathrm{if}\ \phi=0;\quad F_{qd}=1+2\tan\phi'(1-\sin\phi')^2\eta_d\ \mathrm{if}\ \phi'>0,-,Depth factor,Braja M. Das Table 6.3 / Hansen (1970),Uses original B through D_over_B/depth_argument.
Fcd,1 + 0.4*depth_argument if abs(phi2_deg) < 1e-9 else Fqd - (1 - Fqd)/(Nc*tan(radians(phi2_deg))),F_{cd}=1+0.4\eta_d\ \mathrm{if}\ \phi=0;\quad F_{cd}=F_{qd}-\frac{1-F_{qd}}{N_c\tan\phi'}\ \mathrm{if}\ \phi'>0,-,Depth factor,Braja M. Das Table 6.3 / Hansen (1970),Uses original B through D_over_B/depth_argument. For φ′ > 0: Fcd = Fqd - (1 - Fqd)/(Nc tanφ′).
Fyd,1,F_{\gamma d}=1,-,Depth factor,Braja M. Das Table 6.3 / Hansen (1970),Exact table value.
Fci,(1 - beta_deg/90)**2,F_{ci}=F_{qi}=\left(1-\frac{\beta^\circ}{90^\circ}\right)^2,-,Inclination factor,Braja M. Das Table 6.3 / Meyerhof (1963),beta_deg can be input directly or calculated from Hx_t and Hy_t.
Fqi,(1 - beta_deg/90)**2,F_{qi}=\left(1-\frac{\beta^\circ}{90^\circ}\right)^2,-,Inclination factor,Braja M. Das Table 6.3 / Meyerhof (1963),Same as Fci.
Fyi,"1 if phi2_deg <= 0 else (1 - beta_deg/max(phi2_deg,1e-6))**2",F_{\gamma i}=\left(1-\frac{\beta^\circ}{\phi'}\right)^2,-,Inclination factor,Braja M. Das Table 6.3 / Meyerhof (1963),Uses degrees.
term_c,c2*Nc*Fcs*Fcd*Fci,c'N_cF_{cs}F_{cd}F_{ci},t/m²,qult component,Braja M. Das,Cohesion component.
term_q,q*Nq*Fqs*Fqd*Fqi,qN_qF_{qs}F_{qd}F_{qi},t/m²,qult component,Braja M. Das,Surcharge component.
term_y,0.5*B_eff*g2*Ny*Fys*Fyd*Fyi,\frac{1}{2}\gamma B'N_\gamma F_{\gamma s}F_{\gamma d}F_{\gamma i},t/m²,qult component,Braja M. Das,Unit-weight component.
